id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,media_type
1979,Fantastic Four: Rise of the Silver Surfer,5.592,7381,Released,2007-06-13,301913131,92,False,/7ff2FyFmskEFfmXHkxuqVr47DiG.jpg,130000000,https://family.20thcenturystudios.com/movies/fantastic-four-rise-of-the-silver-surfer,tt0486576,en,Fantastic Four: Rise of the Silver Surfer,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",30.047,/f3ldtPF7SESMcyAIyIJHBLlBBkr.jpg,Discover the secret of the Surfer.,"Adventure, Fantasy, Action, Thriller","1492 Pictures, Bernd Eichinger Productions, 20th Century Fox, Constantin Film, Marvel Studios, Ingenious Film Partners","Germany, United Kingdom, United States of America","English, Japanese, Arabic, Mandarin","mask, surfboard, helicopter, fire, airplane, superhero, transformation, satellite, forest, resurrection, based on comic, sequel, space, wedding, explosion, scientist, interrogation, double cross, fantastic four, military, earth in peril, superhuman strength, duringcreditsstinger, invisibility, silver surfer, forcefield, elasticity",movie
11708,Chitty Chitty Bang Bang,6.775,583,Released,1968-12-17,0,144,False,/vOl8p3u3MKjACtpTn6CV3BB7HY.jpg,10000000,,tt0062803,en,Chitty Chitty Bang Bang,"A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.",17.482,/mfbEh3P2h26BriPIjqnEjwWeWFu.jpg,The most fantasmagorical musical entertainment in the history of everything!,"Family, Music, Adventure, Fantasy, Comedy","United Artists, Dramatic Features, Warfield",United Kingdom,"English, Russian","flying car, inventor, oldtimer, steampunk, benny hill",movie
9392,The Descent,6.957,3507,Released,2005-07-08,57130027,99,False,/70TIOrfkQli0Smsfjua2McaDPci.jpg,3500000,,tt0435625,en,The Descent,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",23.007,/mxFPI4KYBk5ri9cPteIS8jiDFgj.jpg,Scream your last breath.,"Adventure, Horror","Pathé, Celador Films, Northmen Productions",United Kingdom,English,"panic, darkness, mutant, expedition, cave, claustrophobia, trauma, gore, female friendship, rope, climbing, appalachia, friends, female protagonist, best friend, creature, survival horror, grieving, speleology, brutal violence, camcorder, suspenseful",movie
138697,Don Jon,6.0,4052,Released,2013-09-12,0,90,False,/4QBI1pdjr2hH1fgC8NqwZZnWNso.jpg,3000000,,tt2229499,en,Don Jon,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",31.696,/uh8bwvgGXeUKzdL4oSul9zxyTcd.jpg,Everyone loves a happy ending.,"Romance, Comedy, Drama","Ram Bergman Productions, HitRecord Films, Voltage Pictures",United States of America,English,"pornography, new jersey, sex addiction, sexual fantasy, internet porn, male masturbation, masturbation, exercise, true love",movie
239563,St. Vincent,7.089,1725,Released,2014-10-09,54837234,102,False,/9aMc1qRu4bFV8spem94WzYo9TgM.jpg,13000000,http://stvincent-movie.com/,tt2170593,en,St. Vincent,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",62.23,/1bb7MTHCIPhpKZFysDpxNaNrdMk.jpg,Love Thy Neighbor,Comedy,"Chernin Entertainment, The Weinstein Company, Crescendo Productions, Goldenlight Films",United States of America,English,"friendship, babysitter, neighbor, divorce, child of divorce",movie
280092,Insidious: Chapter 3,6.295,3123,Released,2015-05-28,112983889,97,False,/gu2N2C44Xzz5sCk5dFAwakbze63.jpg,10000000,,tt3195644,en,Insidious: Chapter 3,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",31.496,/iDdGfdNvY1EX0uDdA4Ru77fwMfc.jpg,This is how you die.,"Horror, Thriller, Mystery","Blumhouse Productions, Entertainment One","Canada, United States of America",English,sequel,movie
76203,12 Years a Slave,7.945,10603,Released,2013-10-18,187000000,134,False,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,20000000,http://www.foxsearchlight.com/12yearsaslave,tt2024544,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",34.808,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,The extraordinary true story of Solomon Northup,"Drama, History","New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions","United States of America, United Kingdom",English,"slavery, plantation, based on memoir or autobiography, violin player, physical abuse, black slave, usa history, slave owner, 19th century, sold into slavery, abolitionist, landowner, abuse of power, african american history",movie
19898,Pandorum,6.559,2160,Released,2009-09-08,20648328,108,False,/2M5V8VcK02o4R5cxe7Ew1ltaxKr.jpg,33000000,http://www.pandorummovie.com/,tt1188729,en,Pandorum,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",27.11,/tgnKTUsKJ6kM0oqiLmPNePgQ8Sw.jpg,Don't fear the end of the world. Fear what happens next.,"Action, Horror, Mystery, Science Fiction, Thriller","Impact Pictures, Studio Babelsberg, Summit Entertainment, Constantin Film, Overture Films, FFA, FFF Bayern, Deutscher Filmförderfonds","Germany, United Kingdom, United States of America","English, Vietnamese, German","spacecraft, mission, mutation, dystopia, survival, creature, pandorum",movie
283366,Miss Peregrine's Home for Peculiar Children,6.822,9401,Released,2016-09-27,296482446,127,False,/ld7V9BjMk2xtiBNcR8savyyk5ca.jpg,110000000,http://www.foxmovies.com/movies/miss-peregrines-home-for-peculiar-children,tt1935859,en,Miss Peregrine's Home for Peculiar Children,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,39.951,/CIlbMFOfYDj0MP23hsIYhFGrL6.jpg,Stay peculiar.,"Fantasy, Adventure","Big Screen Productions, Chernin Entertainment, Tim Burton Productions, SCOPE Pictures, TSG Entertainment, Ingenious Media, 20th Century Fox, St. Petersburg Clearwater Film Commision","Belgium, United Kingdom, United States of America",English,"wales, children's home, shapeshifting, falcon, time travel, orphan, super power, 1940s, based on young adult novel",movie
39451,Little Fockers,5.64,3030,Released,2010-12-21,310650585,98,False,/sLDoVwrzmKNdiBmykPSxaJA7uQh.jpg,100000000,,tt0970866,en,Little Fockers,"It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house.",18.762,/90mwPRNMmX9RUGVgKMJMJNQnYX8.jpg,"Kids bring everyone closer, right?","Comedy, Romance","Universal Pictures, Paramount, Relativity Media, Tribeca Productions, Everyman Pictures, DreamWorks Pictures",United States of America,English,"nurse, cat, father-in-law, vomit, viagra, overbearing father, duringcreditsstinger",movie
